Designator,Mid X,Mid Y,Rotation,Layer
C1,158.3944,-81.153,270.0,top
C2,149.1996,-81.2038,270.0,top
C3,152.146,-81.2038,90.0,top
C4,150.6728,-81.2038,90.0,top
C5,149.479,-85.0138,90.0,top
D1,145.9738,-73.1774,270.0,top
D2,159.1818,-73.1774,270.0,top
J1,152.5778,-93.2434,0.0,top
J2,152.5778,-73.6854,180.0,top
P1,155.2702,-81.2292,180.0,top
R1,147.4724,-81.2038,270.0,top
R2,146.0038,-81.2038,270.0,top
R3,145.9738,-76.4794,90.0,top
R4,159.1818,-76.4794,90.0,top
SW1,146.6088,-85.8774,90.0,top
SW2,158.5468,-85.8774,90.0,top
U1,153.381,-85.8108,90.0,top
